FID,OBJECTID,ADDRRESS_P,DATE_OCCU,YEAR,zip,STATUTDESC,Latitude,Longitude
69365,69366,800 BLK OF W IDAHO ST,2009-04-05 0:00:00,2009,85706,"""ANIMAL BITES/OTHER""",32.15682991,-110.9809377
94872,94873,700 BLK OF W MILTON ST,2009-05-08 0:00:00,2009,85706,"""ANIMAL BITES/OTHER""",32.14703669,-110.9801869
95114,95115,2900 BLK OF N CRAYCROFT RD,2009-04-29 0:00:00,2009,85711,"""ANIMAL BITES/OTHER""",32.25956466,-110.875138
95358,95359,2700 BLK OF N PARK AV,2009-05-06 0:00:00,2009, ,"""ANIMAL BITES/OTHER""",32.25579103,-110.9568154
114954,114955,4000 BLK OF E FORT LOWELL RD,2009-05-30 0:00:00,2009, ,"""ANIMAL BITES/OTHER""",32.26518695,-110.9074127
115566,115567,200 BLK OF E PASTIME RD,2009-05-25 0:00:00,2009,85705,"""ANIMAL BITES/OTHER""",32.27573915,-110.9671774
144629,144630,3600 BLK OF E MONTE VISTA DR,2009-07-02 0:00:00,2009, ,"""ANIMAL BITES/OTHER""",32.25956603,-110.9161642
146404,146405,1500 BLK OF W RIVERVIEW BL,2009-07-04 0:00:00,2009, ,"""ANIMAL BITES/OTHER""",32.24617434,-110.9975023
187992,187993,1600 BLK OF W PRINCE RD,2009-09-10 0:00:00,2009, ,"""ANIMAL BITES/OTHER""",32.27223718,-111.0019017
200224,200225,1100 BLK OF S COUNTRY CLUB RD,2009-09-20 0:00:00,2009,85711,"""ANIMAL BITES/OTHER""",32.20782987,-110.9266864
230047,230048,E NAVAJO RD & N TYNDALL AV,2009-11-10 0:00:00,2009, ,"""ANIMAL BITES/OTHER""",32.26599324,-110.9581571
262016,262017,200 BLK OF N 4TH AV,2009-12-13 0:00:00,2009,85701,"""ANIMAL BITES/OTHER""",32.22386146,-110.9656305
4220,4221,6000 BLK OF E 30TH ST,2010-01-01 0:00:00,2010, ,"""ANIMAL BITES/OTHER""",32.19886236,-110.8639727
17160,17161,3500 BLK OF S LUNDY AV,2010-01-27 0:00:00,2010,85713,"""ANIMAL BITES/OTHER""",32.18320049,-110.9748697
21631,21632,500 BLK OF E NAVAJO RD,2010-01-26 0:00:00,2010,85705,"""ANIMAL BITES/OTHER""",32.26657323,-110.9633943
26450,26451,4100 BLK OF E FORT LOWELL RD,,2010, ,"""ANIMAL BITES/OTHER""",32.26518871,-110.9030822
27028,27029,2600 BLK OF N ALVERNON WY,,2010, ,"""ANIMAL BITES/OTHER""",32.25631309,-110.9097143
30027,30028,3900 BLK OF E MONTE VISTA DR,2010-02-08 0:00:00,2010, ,"""ANIMAL BITES/OTHER""",32.25974185,-110.9079596
36270,36271,N ALVERNON WY & E GRANT RD,,2010, ,"""ANIMAL BITES/OTHER""",32.25061999,-110.9097324
91803,91804,100 BLK OF W WEDWICK ST,2010-05-06 0:00:00,2010, ,"""ANIMAL BITES/OTHER""",32.14935247,-110.9710194
99523,99524,E 3RD ST & N DESERT AV,2010-05-18 0:00:00,2010, ,"""ANIMAL BITES/OTHER""",32.23255966,-110.8958082
103156,103157,2900 BLK OF S ENCHANTED HILLS DR,2010-05-12 0:00:00,2010,86713,"""ANIMAL BITES/OTHER""",32.1889529,-111.0076973
107993,107994,1500 BLK OF N 6TH AV,2010-05-23 0:00:00,2010,85705,"""ANIMAL BITES/OTHER""",32.24052722,-110.9688393
118710,118711,2700 BLK OF S CASTLE DR,2010-06-13 0:00:00,2010,85713,"""ANIMAL BITES/OTHER""",32.19096081,-111.0090711
